circRNA			linear_1			linear_2
chr14:55612018-55619312:+	chr14:55601881-55612018	chr14:55619313-55627911
chr2:241403827-241418109:+	chr2:241373291-241403827	chr2:241418110-241431678
chr8:108449822-108455930:+	chr8:108443699-108449822	chr8:108455931-108469825
chr7:39987598-39988258:+	chr7:39951853-39987598	chr7:39988259-39997493
chr3:113488944-113506605:-	chr3:113469239-113488944	chr3:113506606-113514896
chr17:1842802-1844686:+	chr17:1830127-1842802	chr17:1844687-1853100
chr7:158788003-158799072:-	chr7:158773397-158788003	chr7:158799073-158829088
chr3:17009673-17014911:+	chr3:16885367-17009673	chr3:17014912-17042873
chr6:7176654-7189322:+	chr6:7108065-7176654	chr6:7189323-7210803
chr1:31915894-31919658:-	chr1:31911827-31915894	chr1:31919659-31938664
chr1:180003173-180006567:+	chr1:179997176-180003173	chr1:180006568-180011928
chr5:140440118-140449305:+	chr5:140438618-140440118	chr5:140449306-140458624
chr8:127218809-127224475:-	chr8:127209718-127218809	chr8:127224476-127227518
chr16:85633913-85634132:+	chr16:85556364-85633913	chr16:85634133-85648551
chr8:140789473-140803650:-	chr8:140764291-140789473	chr8:140803651-140890542
chr7:149018991-149021147:-	chr7:149015043-149018991	chr7:149021148-149028320
chr2:195680031-195683906:+	chr2:195678764-195680031	chr2:195683907-195708655
chr1:204468869-204469886:-	chr1:204465320-204468869	chr1:204469887-204494355
chr15:25405460-25411971:-	chr15:25375764-25405460	chr15:25411972-25438488
chr15:80120327-80122800:+	chr15:80098579-80120327	chr15:80122801-80131179
chr6:110887504-110890356:+	chr6:110875216-110887504	chr6:110890357-110892160
chr1:114463103-114464388:-	chr1:114433734-114463103	chr1:114464389-114510550
chr17:61921724-61925099:-	chr17:61919514-61921724	chr17:61925100-61926351
chr1:22489879-22491533:+	chr1:22452005-22489879	chr1:22491534-22501491
chr15:59030803-59031702:+	chr15:58988069-59030803	chr15:59031703-59052304
chr20:35729311-35732135:-	chr20:35725156-35729311	chr20:35732136-35738967
chr8:130358016-130361771:-	chr8:130290139-130358016	chr8:130361772-130401884
chr9:85618982-85633374:-	chr9:85596450-85618982	chr9:85633375-85655142
chr14:32090501-32117287:+	chr14:32077436-32090501	chr14:32117288-32146262
chr15:94298200-94315637:+	chr15:94278264-94298200	chr15:94315638-94339289
chr8:53811163-53829533:-	chr8:53801897-53811163	chr8:53829534-53832983
chr12:19462509-19473355:+	chr12:19440728-19462509	chr12:19473356-19493799
chr15:94440175-94458246:+	chr15:94402020-94440175	chr15:94458247-94470332
chr3:146121111-146124229:-	chr3:146110449-146121111	chr3:146124230-146163593
chr1:213117316-213129889:+	chr1:213104570-213117316	chr1:213129890-213230496
chr13:100257594-100273346:+	chr13:100235879-100257594	chr13:100273347-100301459
chr7:99390892-99391253:+	chr7:99390013-99390892	chr7:99391254-99392670
chr17:82900650-82911789:+	chr17:82893633-82900650	chr17:82911790-82920555
chr3:111112029-111126335:+	chr3:111072178-111112029	chr3:111126336-111144898
chrX:134473358-134498684:+	chrX:134460339-134473358	chrX:134498685-134513934
chr15:85113872-85121014:+	chr15:85113448-85113872	chr15:85121015-85126206
chr1:205616477-205623891:-	chr1:205603354-205616477	chr1:205623892-205631631
chr9:33960825-33973237:-	chr9:33956147-33960825	chr9:33973238-33986759
chr17:76287191-76304941:-	chr17:76282116-76287191	chr17:76304942-76307464
chr12:104991711-104996026:+	chr12:104988254-104991711	chr12:104996027-104996940
chr4:77055149-77066405:-	chr4:77048663-77055149	chr4:77066406-77075471
chr3:128806371-128807671:+	chr3:128798070-128806371	chr3:128807672-128823717
chr9:75016267-75017448:-	chr9:74999871-75016267	chr9:75017449-75028011
chr9:17226202-17236588:+	chr9:17143377-17226202	chr9:17236589-17273732
chr21:29305203-29329693:+	chr21:29305114-29305203	chr21:29329694-29597569
chr4:150102477-150102812:+	chr4:150079449-150102477	chr4:150102813-150193137
chr7:17868406-17897446:-	chr7:17850965-17868406	chr7:17897447-17940283
chr15:94298200-94298730:+	chr15:94278264-94298200	chr15:94298731-94314281
chr5:78089392-78129307:-	chr5:78039275-78089392	chr5:78129308-78141142
chr18:46946056-46946923:+	chr18:46917927-46946056	chr18:46946924-47052879
chr9:135850136-135883078:-	chr9:135827585-135850136	chr9:135883079-135906999
chr19:34430575-34438766:+	chr19:34430187-34430575	chr19:34438767-34443843
chr11:108046269-108054955:+	chr11:108033912-108046269	chr11:108054956-108070095
chr10:126970701-126990603:+	chr10:126961974-126970701	chr10:126990604-126996747
chr10:97437190-97437750:-	chr10:97436552-97437190	chr10:97437751-97441170
chr3:131468090-131471279:-	chr3:131462876-131468090	chr3:131471280-131487679
chr5:132883339-132885119:-	chr5:132881187-132883339	chr5:132885120-132887520
chr3:27383152-27452498:-	chr3:27379357-27383152	chr3:27452499-27484078
chr12:120782654-120784593:-	chr12:120769060-120782654	chr12:120784594-120791468
chr11:86007541-86031611:-	chr11:86003452-86007541	chr11:86031612-86069719
chr9:95978060-96004701:+	chr9:95973089-95978060	chr9:96004702-96012224
chr13:112516439-112527484:-	chr13:112504715-112516439	chr13:112527485-112545698
chr2:189791789-189818180:+	chr2:189785472-189791789	chr2:189818181-189852654
chr10:68959805-68960249:+	chr10:68956313-68959805	chr10:68960250-68962081
chr5:123545416-123575963:+	chr5:123532654-123545416	chr5:123575964-123588067
chr22:45729424-45740538:+	chr22:45718494-45729424	chr22:45740539-45806958
chr10:15816834-15847943:-	chr10:15796173-15816834	chr10:15847944-15860205
chr12:28305648-28391411:+	chr12:28304712-28305648	chr12:28391412-28450160
chr15:76274411-76295737:-	chr15:76231399-76274411	chr15:76295738-76311349
chr6:87215902-87233527:+	chr6:87214070-87215902	chr6:87233528-87243474
chr3:32733422-32737490:+	chr3:32727871-32733422	chr3:32737491-32759457
chr7:155665174-155680908:+	chr7:155644920-155665174	chr7:155680909-155700772
chr4:51863436-51877854:+	chr4:51860664-51863436	chr4:51877855-51886567
chr6:57124733-57134870:+	chr6:57099142-57124733	chr6:57134871-57141301
chr3:172645622-172648114:-	chr3:172636088-172645622	chr3:172648115-172710846
chr12:56603358-56605327:-	chr12:56602858-56603358	chr12:56605328-56605829
chr5:38523418-38530666:-	chr5:38511965-38523418	chr5:38530667-38595260
chr18:10855352-10857211:-	chr18:10837613-10855352	chr18:10857212-10871252
chr9:14146688-14179780:-	chr9:14125767-14146688	chr9:14179781-14306988
chr8:94458267-94467555:-	chr8:94432657-94458267	chr8:94467556-94475000
chr3:123223558-123259589:+	chr3:123209400-123223558	chr3:123259590-123271521
chr15:41356038-41377304:+	chr15:41351148-41356038	chr15:41377305-41380092
chr19:18537600-18538436:-	chr19:18533348-18537600	chr19:18538437-18541678
chr15:63553714-63563008:+	chr15:63544729-63553714	chr15:63563009-63570432
chr19:38917723-38918813:-	chr19:38916315-38917723	chr19:38918814-38919761
chr7:39997493-40002031:+	chr7:39988259-39997493	chr7:40002032-40045835
chr1:230954332-230961303:-	chr1:230945455-230954332	chr1:230961304-230978559
chr12:124952397-124954211:-	chr12:124950805-124952397	chr12:124954212-124956690
chr4:186706562-186709845:-	chr4:186663614-186706562	chr4:186709846-186726353
chr3:93995873-94003908:+	chr3:93989117-93995873	chr3:94003909-94035330
chr17:61919399-61925099:-	chr17:61912071-61919399	chr17:61925100-61926351
chr8:67118247-67137603:+	chr8:67116123-67118247	chr8:67137604-67154023
chr20:63775677-63790790:-	chr20:63752862-63775677	chr20:63790791-63831096
chr9:83677726-83678599:-	chr9:83669328-83677726	chr9:83678600-83682950
chr3:134175608-134195182:-	chr3:134174891-134175608	chr3:134195183-134202729
chr12:69589484-69592159:+	chr12:69588263-69589484	chr12:69592160-69592975
chr3:170145422-170149244:-	chr3:170136666-170145422	chr3:170149245-170171372
chr1:58527260-58536741:-	chr1:58523001-58527260	chr1:58536742-58539035
chr3:50065030-50066502:+	chr3:50062109-50065030	chr3:50066503-50070454
chr5:168488601-168494650:+	chr5:168486544-168488601	chr5:168494651-168495314
chr5:14673641-14681607:+	chr5:14664978-14673641	chr5:14681608-14690038
chr2:45546731-45562756:-	chr2:45546361-45546731	chr2:45562757-45573206
chr12:2820085-2821792:+	chr12:2818354-2820085	chr12:2821793-2822793
chr15:76753807-76775117:-	chr15:76733385-76753807	chr15:76775118-76800247
chr17:51217333-51225209:-	chr17:51207006-51217333	chr17:51225210-51260119
chr11:87067693-87091395:+	chr11:87038187-87067693	chr11:87091396-87236637
chr9:20715321-20740340:+	chr9:20694565-20715321	chr9:20740341-20758089
chr6:13632369-13644729:-	chr6:13625765-13632369	chr6:13644730-13652658
chr8:51845660-51861246:-	chr8:51843898-51845660	chr8:51861247-51898929
chr3:138570317-138571356:-	chr3:138537348-138570317	chr3:138571357-138572858
chr11:77619605-77629899:-	chr11:77616696-77619605	chr11:77629900-77637589
chr22:41808874-41813822:+	chr22:41801077-41808874	chr22:41813823-41825697
chr10:68025545-68044558:-	chr10:68014187-68025545	chr10:68044559-68072882
chr6:87215902-87218731:+	chr6:87214070-87215902	chr6:87218732-87233324
chr4:165989380-166014560:+	chr4:165874074-165989380	chr4:166014561-166025315
